name,alpha3_code,region_code,region_name,subregion_code,subregion_name,intermediate_region_code,intermediate_region_name,m49_code,continent,dev_least_developed,dev_landlocked,dev_sids,developing,currency_code
Singapore,SGP,142.0,Asia,35.0,South-eastern Asia,,,702.0,Asia,False,False,True,True,SGD
Thailand,THA,142.0,Asia,35.0,South-eastern Asia,,,764.0,Asia,False,False,False,True,THB
Timor-Leste,TLS,142.0,Asia,35.0,South-eastern Asia,,,626.0,Asia,True,False,True,True,
Vietnam,VNM,142.0,Asia,35.0,South-eastern Asia,,,704.0,Asia,False,False,False,True,VND
Afghanistan,AFG,142.0,Asia,34.0,Southern Asia,,,4.0,Asia,True,True,False,True,AFN
Bangladesh,BGD,142.0,Asia,34.0,Southern Asia,,,50.0,Asia,True,False,False,True,BDT
Bhutan,BTN,142.0,Asia,34.0,Southern Asia,,,64.0,Asia,True,True,False,True,INR
India,IND,142.0,Asia,34.0,Southern Asia,,,356.0,Asia,False,False,False,True,
Iran,IRN,142.0,Asia,34.0,Southern Asia,,,364.0,Asia,False,False,False,True,IRR
Maldives,MDV,142.0,Asia,34.0,Southern Asia,,,462.0,Asia,False,False,True,True,MVR
Nepal,NPL,142.0,Asia,34.0,Southern Asia,,,524.0,Asia,True,True,False,True,NPR
Pakistan,PAK,142.0,Asia,34.0,Southern Asia,,,586.0,Asia,False,False,False,True,PKR
Sri Lanka,LKA,142.0,Asia,34.0,Southern Asia,,,144.0,Asia,False,False,False,True,LKR
Armenia,ARM,142.0,Asia,145.0,Western Asia,,,51.0,Asia,False,True,False,True,AMD
Azerbaijan,AZE,142.0,Asia,145.0,Western Asia,,,31.0,Asia,False,True,False,True,AZN
Bahrain,BHR,142.0,Asia,145.0,Western Asia,,,48.0,Asia,False,False,False,True,BHD
Cyprus,CYP,142.0,Asia,145.0,Western Asia,,,196.0,Asia,False,False,False,False,
Georgia,GEO,142.0,Asia,145.0,Western Asia,,,268.0,Asia,False,False,False,True,GEL
Iraq,IRQ,142.0,Asia,145.0,Western Asia,,,368.0,Asia,False,False,False,True,IQD
Israel,ISR,142.0,Asia,145.0,Western Asia,,,376.0,Asia,False,False,False,False,ILS
Jordan,JOR,142.0,Asia,145.0,Western Asia,,,400.0,Asia,False,False,False,True,JOD
Kuwait,KWT,142.0,Asia,145.0,Western Asia,,,414.0,Asia,False,False,False,True,KWD
Lebanon,LBN,142.0,Asia,145.0,Western Asia,,,422.0,Asia,False,False,False,True,LBP
Oman,OMN,142.0,Asia,145.0,Western Asia,,,512.0,Asia,False,False,False,True,OMR
Qatar,QAT,142.0,Asia,145.0,Western Asia,,,634.0,Asia,False,False,False,True,QAR
Saudi Arabia,SAU,142.0,Asia,145.0,Western Asia,,,682.0,Asia,False,False,False,True,SAR
State of Palestine,PSE,142.0,Asia,145.0,Western Asia,,,275.0,Asia,False,False,False,True,
Syrian Arab Republic,SYR,142.0,Asia,145.0,Western Asia,,,760.0,Asia,False,False,False,True,SYP
Turkey,TUR,142.0,Asia,145.0,Western Asia,,,792.0,Asia,False,False,False,True,TRY
United Arab Emirates,ARE,142.0,Asia,145.0,Western Asia,,,784.0,Asia,False,False,False,True,AED
Yemen,YEM,142.0,Asia,145.0,Western Asia,,,887.0,Asia,True,False,False,True,YER
Belarus,BLR,150.0,Europe,151.0,Eastern Europe,,,112.0,Europe,False,False,False,False,BYR
Bulgaria,BGR,150.0,Europe,151.0,Eastern Europe,,,100.0,Europe,False,False,False,False,BGN
Czechia,CZE,150.0,Europe,151.0,Eastern Europe,,,203.0,Europe,False,False,False,False,CZK
Hungary,HUN,150.0,Europe,151.0,Eastern Europe,,,348.0,Europe,False,False,False,False,HUF
Poland,POL,150.0,Europe,151.0,Eastern Europe,,,616.0,Europe,False,False,False,False,PLN
Republic of Moldova,MDA,150.0,Europe,151.0,Eastern Europe,,,498.0,Europe,False,True,False,False,MDL
Romania,ROU,150.0,Europe,151.0,Eastern Europe,,,642.0,Europe,False,False,False,False,RON
Russian Federation,RUS,150.0,Europe,151.0,Eastern Europe,,,643.0,Europe,False,False,False,False,RUB
Slovakia,SVK,150.0,Europe,151.0,Eastern Europe,,,703.0,Europe,False,False,False,False,
Ukraine,UKR,150.0,Europe,151.0,Eastern Europe,,,804.0,Europe,False,False,False,False,UAH
Åland Islands,ALA,150.0,Europe,154.0,Northern Europe,,,248.0,Europe,False,False,False,False,
Guernsey,GGY,150.0,Europe,154.0,Northern Europe,830.0,Channel Islands,831.0,Europe,False,False,False,False,
Jersey,JEY,150.0,Europe,154.0,Northern Europe,830.0,Channel Islands,832.0,Europe,False,False,False,False,
Sark,SRK,150.0,Europe,154.0,Northern Europe,830.0,Channel Islands,680.0,Europe,False,False,False,False,
Denmark,DNK,150.0,Europe,154.0,Northern Europe,,,208.0,Europe,False,False,False,False,DKK
Estonia,EST,150.0,Europe,154.0,Northern Europe,,,233.0,Europe,False,False,False,False,
Faroe Islands,FRO,150.0,Europe,154.0,Northern Europe,,,234.0,Europe,False,False,False,False,
Finland,FIN,150.0,Europe,154.0,Northern Europe,,,246.0,Europe,False,False,False,False,
Iceland,ISL,150.0,Europe,154.0,Northern Europe,,,352.0,Europe,False,False,False,False,ISK
Ireland,IRL,150.0,Europe,154.0,Northern Europe,,,372.0,Europe,False,False,False,False,
